# DERIVADO — NO EDITAR
regla	desenlace	instrumento	periodo	universo	ejes	tipo	estado_evidencia	estado_evaluacion	adjudicacion	estado_implementacion	estado_consumo	diagnostico_emisor	calc	periodo_fuente	resultado_puntual	resultado_ic95inf	resultado_ic95sup	resultado_n	resultado_denominador	incertidumbre
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E1"", ""localidad"": ""L1""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L1xE1	RESULT-DIN-LXE8-C2-IC95INF-L1xE1	RESULT-DIN-LXE8-C2-IC95SUP-L1xE1			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E2"", ""localidad"": ""L1""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L1xE2	RESULT-DIN-LXE8-C2-IC95INF-L1xE2	RESULT-DIN-LXE8-C2-IC95SUP-L1xE2			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E3"", ""localidad"": ""L1""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L1xE3	RESULT-DIN-LXE8-C2-IC95INF-L1xE3	RESULT-DIN-LXE8-C2-IC95SUP-L1xE3			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E4"", ""localidad"": ""L1""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L1xE4	RESULT-DIN-LXE8-C2-IC95INF-L1xE4	RESULT-DIN-LXE8-C2-IC95SUP-L1xE4			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E1"", ""localidad"": ""L2""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L2xE1	RESULT-DIN-LXE8-C2-IC95INF-L2xE1	RESULT-DIN-LXE8-C2-IC95SUP-L2xE1			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E2"", ""localidad"": ""L2""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L2xE2	RESULT-DIN-LXE8-C2-IC95INF-L2xE2	RESULT-DIN-LXE8-C2-IC95SUP-L2xE2			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E3"", ""localidad"": ""L2""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L2xE3	RESULT-DIN-LXE8-C2-IC95INF-L2xE3	RESULT-DIN-LXE8-C2-IC95SUP-L2xE3			bootstrap-composicion-sellada
DIN	ahorro_solo_informal	ENIF	2024	persona	"{""edad"": ""E4"", ""localidad"": ""L2""}"	cruce	ACREDITADA-POR-RESULT-NC-0313	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	2024	RESULT-DIN-LXE8-C2-P-L2xE4	RESULT-DIN-LXE8-C2-IC95INF-L2xE4	RESULT-DIN-LXE8-C2-IC95SUP-L2xE4			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D1"", ""escolaridad"": ""S1""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S1xD1	RESULT-TRA-SXD12-C2-IC95INF-S1xD1	RESULT-TRA-SXD12-C2-IC95SUP-S1xD1			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D2"", ""escolaridad"": ""S1""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S1xD2	RESULT-TRA-SXD12-C2-IC95INF-S1xD2	RESULT-TRA-SXD12-C2-IC95SUP-S1xD2			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D3"", ""escolaridad"": ""S1""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S1xD3	RESULT-TRA-SXD12-C2-IC95INF-S1xD3	RESULT-TRA-SXD12-C2-IC95SUP-S1xD3			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D1"", ""escolaridad"": ""S2""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S2xD1	RESULT-TRA-SXD12-C2-IC95INF-S2xD1	RESULT-TRA-SXD12-C2-IC95SUP-S2xD1			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D2"", ""escolaridad"": ""S2""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S2xD2	RESULT-TRA-SXD12-C2-IC95INF-S2xD2	RESULT-TRA-SXD12-C2-IC95SUP-S2xD2			bootstrap-composicion-sellada
TRA	evade_norma	ENVIPE	2025	persona	"{""dominio"": ""D3"", ""escolaridad"": ""S2""}"	cruce	REPRODUCE/IDENTICO	EVALUADA	C2	IMPLEMENTADO-PROPUESTO	ACTIVO	FUERA-DE-SELECCION	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	2025	RESULT-TRA-SXD12-C2-P-S2xD3	RESULT-TRA-SXD12-C2-IC95INF-S2xD3	RESULT-TRA-SXD12-C2-IC95SUP-S2xD3			bootstrap-composicion-sellada
