objeto	decision	fuente	fecha
TRA-M-02	M_vivo=__v1_3	FP-339	2026-09-07
TRA-M-03	M_vivo=__v1_3	FP-339	2026-09-07
TRA-M-07	M_vivo=__v1_3	FP-339	2026-09-07
milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros	receta_legacy=SIN-RECETA	FP-339	2026-09-07
milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros	receta_legacy=SIN-RECETA	FP-339	2026-09-07
milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	receta_legacy=SIN-RECETA	FP-339	2026-09-07
milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	receta_legacy=SIN-RECETA	FP-339	2026-09-07
CALC-M-marco-M-sorteado-v1_3	cuenta_gen2=NO · insumo LEGACY (tramite.yaml GEN1)	D-1 (mesa 2026-09-08, ACTO GEN2-T9)	2026-09-08
CALC-AGG-marco-M-sorteado-v1_3	cuenta_gen2=NO · insumo LEGACY (tramite.yaml GEN1)	D-1 (mesa 2026-09-08, ACTO GEN2-T9)	2026-09-08
CALC-M-marco-M-sorteado-v1_3-ola	cuenta_gen2=NO · insumo LEGACY (tramite.yaml GEN1)	D-1 (mesa 2026-09-08, ACTO GEN2-T9)	2026-09-08
CALC-AGG-marco-M-sorteado-v1_3-ola	cuenta_gen2=NO · insumo LEGACY (por cadena)	D-1 (mesa 2026-09-08, ACTO GEN2-T9)	2026-09-08
CALC-MOTOR-celdas-semilla	cuenta_gen2=NO · insumo LEGACY (procedencia.yaml GEN1)	D-1 (mesa 2026-09-08, ACTO GEN2-T9)	2026-09-08
CALC-M-marco-M-sorteado-v1_3-ola-v2	cuenta_gen2=NO · insumo LEGACY (tramite.yaml GEN1)	D-1 (mesa 2026-09-08, ADENDA GEN2-T9)	2026-09-08
CALC-AGG-marco-M-sorteado-v1_3-ola-v2	cuenta_gen2=NO · insumo LEGACY (por cadena)	D-1 (mesa 2026-09-08, ADENDA GEN2-T9)	2026-09-08
CALC-0001	cuenta_gen2=SI	FIRMA DE MESA 2026-09-08 (cuenta trabajo sellado en la nomina GEN2 tras PR #634; no compara con GEN1 ni adopta al motor), forense/encargos/2026-09-08-GEN2-FIRMA-CONTADOR-PROPAGA-FIRMA.md	2026-09-08
CALC-0002	cuenta_gen2=SI	FIRMA DE MESA 2026-09-08 (cuenta trabajo sellado en la nomina GEN2 tras PR #634; no compara con GEN1 ni adopta al motor), forense/encargos/2026-09-08-GEN2-FIRMA-CONTADOR-PROPAGA-FIRMA.md	2026-09-08
