calc_id	corrida_id	resultado_replay	contexto_replay	razones	spec_yaml_sha256	script_blob_sha256	input_sha256_efectivos	codigo_commit	fecha_verificacion	entorno	procedencia	alcance	nota
CALC-ENVIPE-SERIE-2011	CALC-ENVIPE-SERIE-2011--e65f711ded02	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	d496062490f8766bd792b1dc6cc88599753db25d6526611a9dce1b83673a63c4	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe_2011_base_de_datos_envipe_2011_dbf=d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4	e65f711ded020a742cf9ac9b4770de573f262c60	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2014	CALC-ENVIPE-SERIE-2014--b84e8716266d	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	ea60b44aef509f8a6cac461458d23d8ec9f7bfe1e1c5dd13a941c9a4df9803d7	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe_2014_bd_envipe2014_dbf=8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77	b84e8716266d2d645378d3a5e8887095910fb6ef	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2016	CALC-ENVIPE-SERIE-2016--4cc4dc4e0f00	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	18eedbfb865b6650050f45a0bce1d552a4d037c75f6dea30363ae6a38c84739f	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe_2016_bd_envipe2016_dbf=8c939550590bbb7941c65a2c9a3d87d8654cfe529e969f51265fe65974ef68a4	4cc4dc4e0f00984b8f86462ed08814910902cc09	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2017	CALC-ENVIPE-SERIE-2017--1ab273c6cc9f	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	c7bc86ec1381e8c9dc298a1e964dad320500bf994b4d5cef342d82d08082a70b	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe_2017_bd_envipe2017_dbf=86df9910dae338d4c4487e6760e8e3ba1a752c8a8fcda967a8af152ad49d8f74	1ab273c6cc9f6a4607444511ec6d374074cffd33	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2018	CALC-ENVIPE-SERIE-2018--41213bd55be4	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	ad1df73757e840bc3bff6d649c2a55bd1b6606adef9c08c17fc109033f50a5c4	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe2018_csv=aa279993bfeaaa0bf0d821e964887140ef444f6e695e4e1767f6512e4d2c4723	41213bd55be4582b40aa4207dff30d0a813ac586	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2019	CALC-ENVIPE-SERIE-2019--76529ace5c5c	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	0e78e8bc462928a8f43ff9d0388399d7ff0640f41c4b9c97110c4d268e3f6e47	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe2019_csv=24bb83987f2ba57912a3f55c8ff3bb48e5f39f2292cd167997312c1fd77207f3	76529ace5c5ceeda6ea49af4c14036290f1cb321	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2020	CALC-ENVIPE-SERIE-2020--1988c7acdbaf	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	13cc09d9e08286c66af63b8476e2b7604124d3a2a35c35bf2aafeb0d9036eb7e	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe2020_csv=26f468da631bfdb94994a9e5051fa973468608f0da56612b6897df16a2797b9d	1988c7acdbafc99b0d8e50c28bcea52a75a003eb	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-ENVIPE-SERIE-2022	CALC-ENVIPE-SERIE-2022--41bca15cd9bf	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 40/40 RESULT; inputs COINCIDE	cbb830fd85b52da02ac01613f47c1e85326c55ca35610ee8e0185a6f2a1b2a70	0f5befa2e9e801525cf2b263febfe45691b77eb6cf17f72f532b3f7258824f09	IN-ENVIPE-SERIE-COMPLETA-SPEC=ef8b0cdc471d9792b6d53fe1c0a21eee9091a1232ad4bb1cb605d9e136f5de5c,envipe2022_csv=3a6e0f3a05dd4120efe8072de519402a39f4ed1690593433a68bb2ee137e77bb	41bca15cd9bfb3b0e7a7f1bf71da172f96767be8	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENVIPE-SERIE-COMPLETA	preflight VERDE -> run -> verify; salida estructurada verificada en esta sesion	forense/notas/2026-09-10-GEN2-ENVIPE-SERIE-COMPLETA-cierre.md
CALC-0001	CALC-0001--174c269a07b6	NO-EJECUTABLE	DISTINTO	NO-ARCHIVADA-EN-SU-MOMENTO	38bfd857c58e49aa9b72756700efb19dc138748a4e825cfe03f40127946cad8f	44fb548368463ea25f453d0a5fcc4161ed8afb47224918a08f6f0e3d61a28ce1	IN-S12-SPEC-SELLADA=870522a34d9538454b5b774ddc33e46f9cd8e8d62a20f31b2d972f9755447336,cide_cses2015_estatal_preelectoral=7cf0e9e9262f9797e6e39d8485e98cd73d49a276859cc57fa21e3c82a81fbd9b,cide_cses2015_nacional_poselectoral=1ef01a17fe6ca10b73db9e988ac4dacac766a6b0759af43f1fd690d3f60d4d80,cide_cses2015_nacional_preelectoral=85432d32266ac68f887bdf87fdd18f4673c3583b420ff518e42805079fdaef55	174c269a07b6a145d682477a22d7eeb13fea2f8e	DESCONOCIDA	NO-DECLARADO-EN-SU-MOMENTO	HEREDADO-DEL-REGISTRO-PUBLICADO · data/corrida0/corridas.tsv@66eed1b4f4a3	EVIDENCIA-HISTORICA · veredicto publicado, sin salida estructurada de verify archivada; NO acredita verificacion en esta sesion	forense/notas/2026-09-09-GEN2-REGISTRO-REPLAY-cierre.md
CALC-0002	CALC-0002--f57ad1cd8f96	NO-EJECUTABLE	DISTINTO	NO-ARCHIVADA-EN-SU-MOMENTO	5d0c88a358cfec1525378b294694b8e0fa44ab7edffec3f6a9903e14be7e669e	3fb76f29d56c175060e8c63db972ccee9d30a82b7d3dfdbfad5ff7b8e87792f0	IN-S13-SPEC-SELLADA=c41235b804b0834881b7d3467e25ab0b74946fc03ba14245918e9c7a2e69a515,mex_2021_lapop_americasbarometer_v1_2_w=153fb0f81acfffb41bbe247b7fce81159350e1fdfcb342a14bb034bcb7d95566,mex_2023_lapop_americasbarometer_v1_0_w=4a9410a53cde9d11edeb23465bdbadce8a6abcc18330b6eebe2a4493be6e765c,mexico_lapop_americasbarometer_2019_v1_0_w=c88f79ebb8e73c473cd78d894eb093261f172e736a35bd7bc677b4e8b1454a57	f57ad1cd8f963b4edb03ec2433fb270f6d05141f	DESCONOCIDA	NO-DECLARADO-EN-SU-MOMENTO	HEREDADO-DEL-REGISTRO-PUBLICADO · data/corrida0/corridas.tsv@66eed1b4f4a3	EVIDENCIA-HISTORICA · veredicto publicado, sin salida estructurada de verify archivada; NO acredita verificacion en esta sesion	forense/notas/2026-09-09-GEN2-REGISTRO-REPLAY-cierre.md
