id	fecha	acto	pr	pieza	que_no_se_corrio	razon	impacto	sucesor	estado	cerrado_por	fecha_cierre
NC-0001	2026-09-08	V1	n/a	V1·P3	verificación adversarial de INFRA con muestra propia -- nunca hecha	DIFERIDO-A:E7	infraestructura_verificada_adversarialmente no se mueve; INFRA sigue sin muestra propia de verificación	E7 (checks de readiness de infraestructura; salvo decisión de mesa)	CERRADA	PR #612 (ACTO GEN2-E7 . READINESS-2, Pieza C)	2026-09-08
NC-0002	2026-09-08	V1	n/a	V1·P2	veredicto por fila de las 28 recetas de FP-286 -- parcial en N4	DECISION-DE-MESA-PENDIENTE	recetas_fp286_con_veredicto no llega a 28/28; FP-286 no puede cerrarse mientras falten filas	FP-343	ABIERTA
NC-0003	2026-09-08	GEN2-E3	#608	E3 §7	cinco límites declarados; cuatro los cierra E3.1, uno (limpia_arbol sin fetch) se conserva como válido	DIFERIDO-A:E3.1	limites_e3_pendientes no baja a cero hasta que E3.1 fusione	E3.1	CERRADA	#608	2026-09-08
NC-0004	2026-09-08	GEN2-E4	#605	FP-340	firmada como «preservar en historico/», cerrada como «absorber en main y borrar»	SUSTITUIDO-POR:#605	registro-rotulos.tsv: historico/ -> RETIRADO; absorbe los dos worktrees huérfanos (historico/maestra37-l2-mps-codebook-y-p3, historico/maestra38-v1-corrobora-y-reconcilia) fusionados en main; huérfano: ninguno -- enmienda al plan v2.0 §6	#605	CERRADA	#605	2026-09-07
NC-0005	2026-09-08	MAESTRA38-CRON-DIAGNOSTICO-Y-ARREGLO	#606	cron 7/sep	disparo automático del cron de adquisición del 7/sep sin huella (T-CRON en PENDIENTE/SIN-HUELLA)	SUSTITUIDO-POR:ACTO ADQ-CRON-V2	huella_cron_semanal no se movía hasta ADQ-CRON-V2; absorbe Windows Task Scheduler como disparador autoritativo + T-CRON v2 de cinco estados; huérfano: ninguno	acto/adq-cron-v2	CERRADA	#606 (ACTO ADQ-CRON-V2)	2026-09-08
NC-0006	2026-09-08	MAESTRA38-L16-BIS-2	n/a	L16-BIS-2	veredicto negativo (D2, BUSCA_PUBLICO NO-CONSTRUIBLE-SIN-DIRECTORIO-EXTERNO) sin conteo A.13 explícito en su recibo	SUSTITUIDO-POR:SELLO-3	fp_332_estado no se resolvía sin el conteo; absorbe FP-332 FIRMADA-PARCIAL con conteo A.13 explícito vía MAESTRA38-N22 §D2; huérfano: ninguno	MAESTRA38-SELLO-3	CERRADA	SELLO-3 (FP-332)	2026-09-07
NC-0007	2026-09-08	GEN2-T8	n/a	P5 (tools/limpia_arbol.py, fuera_de_politica)	verificación end-to-end de `fuera_de_politica` contra PRs reales de GitHub -- este entorno (NUBE) no tiene `gh` instalado	NO-VERIFICABLE-AQUÍ	fuera_de_politica no se pudo medir en esta sesión; el reporte degrada a NO-VERIFICABLE-SIN-GH, nunca afirma un conteo sin evidencia	GEN2-E4	ABIERTA
NC-0008	2026-09-08	GEN2-T8	n/a	P5 (tools/digesto_tramite.py, sección H)	"diff real de ""NC- nuevas y cambios de estado"" entre corridas del digesto -- no hay estado persistido entre corridas para comparar"	NO-VERIFICABLE-AQUÍ	sección H reporta el corte completo del día (todas las filas vigentes) en vez de un diff incremental contra el digesto anterior	GEN2-E6	CERRADA	ACTO AUTO-DIGESTO-1 · CAMBIOS-DESDE-EL-ULTIMO-CORTE (forense/encargos/2026-09-08-digesto-incremental-reservas.md)	2026-09-08
NC-0009	2026-09-08	GEN2-V213	#609	paso 9 de la cascada estandar (abrir UN PR contra main)	no se abrio PR desde este acto al escribir la cascada (politica del entorno: no crear PR salvo pedido explicito)	DECISION-DE-MESA-PENDIENTE	## CONSUMIDO no podia citar un numero de PR real al momento de escribirse	PR #609	CERRADA	#609	2026-09-08
NC-0010	2026-09-08	GEN2-E3-1-1	n/a	MAQUINA DE ESTADOS (estado_calc)	funcion pura derivada estado_calc(calc_id) -> BORRADOR/SPEC-FIJADA/PRE-FLIGHT-VERDE/EJECUTADA-NO-SELLADA/SELLADA	DIFERIDO-A:GEN2-E5-0	ningun contador se mueve: no hace falta para cerrar ninguno de los cuatro defectos D1-D4, y el propio encargo autoriza dejarla para E5-0 como ya declaro PR #608. Los primeros CALC de E5 no pueden consultar su estado por funcion todavia	GEN2-E5-0	CERRADA	PR #614 (ACTO GEN2-PRE-E5 . CABLEADO-Y-AUTOMATIZACION-FINAL, P1)	2026-09-08
NC-0011	2026-09-08	GEN2-E3-1-1	n/a	P2 (endurecimiento de preflight) contra specs reales	verificacion del endurecimiento P2/P3 contra los spec.yaml reales de CALC-0001/0002/0003	NO-VERIFICABLE-AQUI	el endurecimiento se probo contra fixtures y contra las dos specs LEGACY-GEN1 selladas; las tres specs reales todavia no existen, asi que no se pudo medir cuantos campos sustantivos les faltarian	GEN2-E5-0	CERRADA	ACTO GEN2-E5-0 (PR pendiente) -- el endurecimiento P2/P3 de preflight se probo contra las TRES specs reales: [ENDURECIDO], 11 dimensiones sustantivas declaradas, seed completo, schema de outputs validado (54/29/128 ids unicos), PRE-FLIGHT VERDE en las tres	2026-09-08
NC-0012	2026-09-08	GEN2-E6	n/a	(6) Cierra NC-0007 si su verificacion end-to-end cabe aqui (fuera_de_politica contra PRs reales)	verificacion end-to-end de fuera_de_politica en tools/limpia_arbol.py contra PRs reales de GitHub	FUERA-DE-PERIMETRO	fuera_de_politica sigue degradando a NO-VERIFICABLE-SIN-GH; NC-0007 sigue ABIERTA con su sucesor original. tools/limpia_arbol.py no esta en el perimetro de E6 y el encargo manda PARAR si el acto se encuentra escribiendo fuera de la lista. Medido en esta sesion: el entorno NUBE sigue sin gh instalado, y el tool consulta gh por subproceso, no por el MCP de GitHub que si tiene esta sesion -- verificarlo a mano no cerraria la reserva, que es del TOOL	GEN2-E4	ABIERTA		
NC-0013	2026-09-08	GEN2-E6	n/a	(6) Cierra NC-0008 si su verificacion end-to-end cabe aqui (diff de NC- entre digestos)	diff incremental de NC- nuevas y cambios de estado entre corridas del digesto (tools/digesto_tramite.py, seccion H)	FUERA-DE-PERIMETRO	la seccion H del digesto sigue reportando el corte completo del dia en vez de un diff; NC-0008 sigue ABIERTA. tools/digesto_tramite.py no esta en el perimetro de E6. Hallazgo util para el sucesor: SI hay estado persistido con el que comparar -- los propios forense/digesto/DIGESTO-*.md anteriores -- asi que la reserva es implementable, no estructural. cmd_status ya expone no_corrido_abiertas como corte, no como diff	acto/digesto-diff-nc	CERRADA	ACTO AUTO-DIGESTO-1 · CAMBIOS-DESDE-EL-ULTIMO-CORTE (forense/encargos/2026-09-08-digesto-incremental-reservas.md)	2026-09-08
NC-0014	2026-09-08	GEN2-E6	n/a	(3) tools/tablero_programa.py lee status y elimina el hardcode historico	regeneracion del bloque committeado de forense/tablero/TABLERO-PROGRAMA.md con los contadores GEN2 ya derivados	FUERA-DE-PERIMETRO	el DERIVADOR ya trae el bloque GEN2 y el marco derivado (verificado con tools/tablero_programa.py --json), pero forense/tablero/TABLERO-PROGRAMA.md no esta en el perimetro de E6, asi que su bloque committeado sigue mostrando el corte anterior hasta que alguien corra --actualiza. Ningun test compara el bloque contra una derivacion fresca, asi que no hay FAIL: es desfase de lectura, no de dato	/tramite (protocolo vigente: python3 tools/tablero_programa.py --actualiza)	CERRADA	PR #614 (ACTO GEN2-PRE-E5 . CABLEADO-Y-AUTOMATIZACION-FINAL, P5, python3 tools/tablero_programa.py --actualiza)	2026-09-08
