instrumento	fuente_texto	formato
envipe2011	envipe2011/fd_envipe2011.xls	xls
envipe2012	envipe2012/fd_envipe2012.xls	xls
envipe2013	envipe2013/fd_envipe2013.xlsx	xlsx
envipe2014	envipe2014/fd_envipe2014.pdf	pdf_table
envipe2015	envipe2015/fd_envipe2015.pdf	pdf_table
envipe2016	envipe2016/fd_envipe2016.pdf	pdf_table
envipe2017	envipe2017/fd_envipe2017.pdf	pdf_table
envipe2018	fd_envipe2018.pdf	pdf_table
envipe2019	fd_envipe2019.pdf	pdf_table
envipe2020	fd_envipe2020.pdf	pdf_table
envipe2021	fd_envipe2021.pdf	pdf_table
envipe2022	fd_envipe2022.pdf	pdf_table
envipe2023	fd_envipe2023.pdf	pdf_table
envipe2024	fd_envipe2024.pdf	pdf_table
envipe2025	fd_envipe2025.pdf	pdf_table
enif2012	fd_enif2012.xlsx	xlsx
enif2015	enif_2015_fd.xlsx	xlsx
enif2018	enif_2018_fd.xlsx	xlsx
enif2021	enif_2021_fd_pdf.zip	zip_pdf_table
enif2024	enif_2024_fd.xlsx	xlsx
ensafi2023	ensafi2023/ensafi_2023_fd_xlsx.zip	zip_xlsx
encuci2020	FD_ENCUCI2020.pdf	pdf_table
