id_afirmacion	report	report_sha256	localizador	texto_vigente	tier_report	clase	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	estado_verificacion	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario	siguiente_operacion	prioridad
ASTRA5-U0-AUTOR-001	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	L15, hallazgo 4; §8 Para política y comportamiento cívico; §10 Contradicciones	77.5% quiere un líder político fuerte, según ENCUCI 2020.	FUERTE	cifra publicada y tesis interpretativa	Proporción ponderada que está muy o algo de acuerdo con que para gobernar un país se necesita un gobierno encabezado por un líder político fuerte: AP4_9_1=1/2 entre válidos.	El reactivo no pregunta por autoritarismo, caudillismo, aprobación de AMLO/Morena ni obediencia real. Tampoco identifica por sí solo a quienes a la vez apoyan participación de todos.	Persona entrevistada de 15 años o más; ENCUCI 2020 nacional, vivienda particular. Pregunta 4.9 en SEC_4_5; respuesta válida 1/2/3/4, 9 no sabe/no responde excluido. FAC_SEL peso de persona; EST_DIS/UPM_DIS para diseño. No condicionar por preferencia partidista.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.19-20 §IV P4.9;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P4.9 «¿Qué tan de acuerdo o en desacuerdo está con las siguientes frases? Para gobernar un país se necesita tener… 1. un gobierno encabezado por un líder político fuerte»; AP4_9_1: 1 Muy de acuerdo, 2 Algo de acuerdo, 3 Algo en desacuerdo, 4 Muy en desacuerdo, 9 No sabe/no responde.	CERRADA	MEDIBLE-EN-CORPUS	FD y dato ENCUCI 2020 registrados en main con SHA físicos coincidentes. Reactivo, escala y universo cerrados; cifra del report pendiente de RESULT que reproduzca corte y denominador.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; el cálculo requiere ponderación, diseño, válidos y tratamiento explícito de no respuesta. U0 no produce RESULT nuevo.	C-06b en main solo cubre confianza P5.1, no AP4_9_1/AP4_9_4. No se halló RESULT de P4.9 en main al corte.	ASTRA5-U3	Cotejar 77.5% con AP4_9_1=1/2 y denominador válido/diseño en CAJA autorizada o RESULT compatible; distinguir acuerdo con la frase de autoritarismo.	3
ASTRA5-U0-AUTOR-002	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	L15, hallazgo 4; §8 Para política y comportamiento cívico; §10 Contradicciones	88.7% dice que para gobernar se requiere participación de todos, según ENCUCI 2020.	FUERTE	cifra publicada y tesis interpretativa	Proporción ponderada muy o algo de acuerdo con un gobierno donde todos participen en la toma de decisiones: AP4_9_4=1/2 entre válidos.	No mide participación efectiva, deliberación, diseño institucional ni efecto del liderazgo. Para afirmar simultaneidad individual con AUTOR-001 se requiere cruce AP4_9_1×AP4_9_4 en los mismos entrevistados.	Persona entrevistada de 15 años o más; ENCUCI 2020 nacional, vivienda particular. Pregunta 4.9 en SEC_4_5; respuesta válida 1/2/3/4, 9 no sabe/no responde excluido. FAC_SEL peso de persona; EST_DIS/UPM_DIS para diseño. No condicionar por preferencia partidista.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.19-20 §IV P4.9;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P4.9 «… 4. un gobierno donde todos participen en la toma de decisiones»; AP4_9_4: 1 Muy de acuerdo, 2 Algo de acuerdo, 3 Algo en desacuerdo, 4 Muy en desacuerdo, 9 No sabe/no responde.	CERRADA	MEDIBLE-EN-CORPUS	FD y dato ENCUCI 2020 registrados en main con SHA físicos coincidentes. Reactivo, escala y universo cerrados; cifra del report pendiente de RESULT que reproduzca corte y denominador.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; el cálculo requiere ponderación, diseño, válidos y tratamiento explícito de no respuesta. U0 no produce RESULT nuevo.	C-06b en main solo cubre confianza P5.1, no AP4_9_1/AP4_9_4. No se halló RESULT de P4.9 en main al corte.	ASTRA5-U3	Cotejar 88.7% con AP4_9_4=1/2 y denominador válido/diseño; preregistrar cruce conjunto si se quiere sostener paradoja a nivel persona.	3
ASTRA5-U0-AUTOR-003	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	L19, hallazgo 6; §3 evidencia fuerte; §módulo Desconfianza ≠ Rebeldía	13.8% confía en servidores públicos, frente a 62.1% en conocidos personalmente, según ENCUCI 2020.	FUERTE	cifra publicada y tesis interpretativa	AP5_1_4 mide confianza en servidores públicos o empleados de gobierno en escala 00-10; preregistrar proporción alta 08-10 entre válidos, mismo umbral que CAPSOC-003 para conocidos AP5_1_2.	La cifra 62.1% de conocidos es la misma afirmación ya contratada en CAPSOC-003, no una observación independiente. El contraste no prueba que la confianza personal compense instituciones ni que cause evasión o resistencia.	Persona 15+ entrevistada ENCUCI 2020, nacional; SEC_4_5, AP5_1_4 válido 00-10, excluir 99. FAC_SEL, EST_DIS y UPM_DIS. Corte alto 08-10 es analítico; cotejar denominador del 13.8%.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|p.22 §V P5.1;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P5.1 «En una escala de cero a diez… en general ¿cuánto confía en… 4. los servidores públicos o empleados de gobierno?»; AP5_1_4: 00 Nada a 10 Completamente; 99 No sabe/no responde. CAPSOC-003 usa AP5_1_2 en la misma batería.	CERRADA	MEDIBLE-EN-CORPUS	FD y dato ENCUCI 2020 registrados en main con SHA físicos coincidentes. Reactivo, escala y universo cerrados; cifra del report pendiente de RESULT que reproduzca corte y denominador.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; el cálculo requiere ponderación, diseño, válidos y tratamiento explícito de no respuesta. U0 no produce RESULT nuevo.	CAPSOC-003 y C-06b en main documentan AP5_1_2 conocidos 62.2% (IC95 61.2-63.3) al corte ≥8; C-06b no calcula AP5_1_4.	ASTRA5-U3	Cotejar 13.8% con AP5_1_4 ≥8/10 y mismo universo/diseño que CAPSOC-003; deduplicar conocido 62.1% sin sumar evidencia.	3
ASTRA5-U0-AUTOR-004	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	L11, hallazgo 2; §3 evidencia fuerte; §4 respeto ritual	57% de mexicanos valoran la obediencia como cualidad infantil deseable, según WVS México 2018; esto se interpreta como respeto performativo.	FUERTE	cifra publicada y tesis psicológica	WVS México 2018 Q17: selección de obediencia entre hasta cinco cualidades infantiles consideradas especialmente importantes. El codebook v3.0 publica 57.1% «Important» de 1,741 entrevistas.	La pregunta mide mención declarada de una cualidad en selección de hasta cinco, no obediencia efectiva, sumisión internalizada, respeto performativo ni aceptación de jefes. EE.UU. 28% y Japón 3% exigen sus olas y cuestionarios exactos; no son parte de este contrato.	Adultos 18+ México, WVS ola 7 levantada enero-mayo 2018, n=1,741, cara a cara, 496 puntos y diseño multietápico; ponderador de sexo/edad/educación según diseño. Q17 se formula a todas las personas entrevistadas.	World Values Survey ola 7, México 2018	f00006635_wvs7_questionnaire_mexico_2018_spanish|d84607c68d30985f537a18048c5c903b2f5b73e57420f37689ab67758bac387d|p.1 tarjeta 2 Q17;f00010701_wvs7_sample_design_mexico_2018|148b41f4315af1060a434fe35a76e874fdae87a2db40425f679ece29f6df8b66|p.1;f00011928_world_values_survey_wave_7_2017_2020_mexico_v3_0|faee54eeaff1ca170bc86b3f26c0593df99b576d035d44055f08470f97b03005|p.14 Q17	Tarjeta 2: «Aquí hay una lista de cualidades que pueden fomentarse en el hogar para que los niños las aprendan. ¿Cuál considera usted que es especialmente importante para enseñar a los niños? Por favor escoja hasta cinco opciones». Q17 Obediencia: 1 Sí mencionó, 2 No mencionó; codebook v3.0 57.1% Important, 42.8% Not mentioned, redondeo.	CERRADA	MEDIBLE-EN-CORPUS	Cuestionario, diseño, codebook v3.0 y ZIP de dato v5.1 registrados en main con hashes físicos coincidentes; 57.1% es tabulado publicado, no RESULT propio del ZIP ni prueba de mecanismo psicológico.	f00013146_wvs_wave_7_mexico_csv_v5_1|cf0b774e1f6611b5531cfb66db982a8c3443e658bb0befcb1ef053d790ca4afe|ZIP físico en respaldo local, SHA coincide; contenido no abierto; versión v5.1 distinta del tabulado v3.0	WVS descargado por usuario con cuenta gratuita. Revalidar condiciones y permiso de apertura antes de CAJA; no redistribuir PDF/dato. Armonizar v3.0/v5.1 antes de afirmar RESULT.	TRUST-001/002 usan Q57/Q58/Q61 de la misma ola, pero no miden obediencia Q17. Sin RESULT Q17 en main; 57.1% procede del codebook publicado.	ASTRA5-U3	Cotejar Q17 del ZIP v5.1 con ponderador y versión en CAJA autorizada; localizar EE.UU./Japón por ola y denominador; separar respeto ritual de mención declarada.	3
ASTRA5-U0-CAPSOC-001	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L14, hallazgo 3; L47 y L96	Entre quienes ahorran informalmente, una fracción participa en tandas; el report cita 32.7% CONDUSEF y 22% ENSAFI 2023, con bases/fuentes por reconciliar.	FUERTE	cifra publicada y mecanismo interpretativo	ENSAFI 2023 P6_1_5 pregunta participación actual en tanda: proporción ponderada entre personas adultas y, por separado, entre quienes declaran cualquier forma de ahorro informal P6_1_1..6. No se adopta aquí 22% sin RESULT compatible.	P6_1_5 no mide monto, plazo, reputación, impago, relación con organizadora ni mecanismo de confianza. CONDUSEF 32.7% tiene fuente/denominador propio. ENIF 2024 FIN-002 pregunta participación en últimos 12 meses y no sustituye ENSAFI actual. La frase 41% entre ahorradores exige otra definición de todo ahorro.	Persona elegida de 18 años o más residente en vivienda particular México; ENSAFI levantada 25/sep–17/nov/2023, diseño probabilístico multietápico estratificado por conglomerados, cobertura nacional. Denominador informal: cualquier P6_1_1..6=1; analizar válidos y diseño con FAC_ELE/UPM_DIS/EST_DIS.	ENSAFI 2023	ensafi2023_cuestionario_pdf|d86c69f26d8b77de1d00b94d794b1e2ac01bd26aa101d3fca9e17287380c85fb|p.15 §6.1;ensafi2023_fd_xlsx_zip|37bd0cb6dd54ddb8d8962114971e60e06d2628e97eeb8b4e32269129d556ff4b|FD PDF §6 TMODULO;gen2_ensafi2023_diseno_muestral|80a097b28f55cf5b8282f8d0a656d52e0d9b21693663c4f52803f55985a0fb31|§1.2,§2.1	Cuestionario §6.1 «Actualmente, ¿usted participa en una tanda?»; FD TMODULO P6_1_5, 1=Sí, 2=No. Informal: P6_1_1..6 (prestar; bienes; caja; familiares/conocidos; tanda; casa), mismo código 1/2. FAC_ELE peso de persona, UPM_DIS y EST_DIS diseño.	CERRADA	MEDIBLE-EN-CORPUS	Cuestionario, descriptor, diseño y dato ENSAFI 2023 tienen ids en main y SHA físicos cotejados. Contrato cerrado para participación actual y denominador informal explícito; 22%/32.7% no son RESULT medidos por U0 ni prueba de confianza/reputación.	ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd|físico COINCIDE SHA; contenido no abierto en U0	Términos de Libre Uso INEGI; confirmar autorización de apertura y confidencialidad en CAJA. La medición ponderada requiere diseño y excluir códigos fuera de universo/no respuesta según FD.	No hay RESULT ENSAFI 2023 P6_1_5 con este denominador integrado en main; FIN-002 ENIF 2024 mide ventana diferente. Notas GEN2 reconocen P6_1_5 solo como satisfacción parcial para tasa, no reputación.	ASTRA5-MESA-DINERO	Preregistrar estimandos adulto e informal con P6_1_5, FAC_ELE, UPM_DIS, EST_DIS; cotejar RESULT compatible o medir en CAJA autorizada. Localizar tabulado CONDUSEF 32.7% y fuente de 41% con filtros exactos.	4
ASTRA5-U0-CAPSOC-002	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L12, hallazgo 2; L32	El report atribuye a ENCUCI 2020 32.1% de confianza alta en «la mayoría de las personas».	FUERTE	cifra publicada y comparación de referentes	AP5_1_1 mide confianza en la mayoría; C-06b calculó 21.9% ≥8/10, n útil 21,409, IC95% 21.1-22.7. El 32.1% se reproduce en AP5_1_3 vecinos (32.3%, IC95% 31.3-33.3), no en AP5_1_1.	P5.1 es escala 0-10; ≥8 es umbral analítico, no porcentaje que responde sí a pregunta dicotómica. No equiparar a Pew 2025 18% ni WVS 2018 Q57 10.5%, instrumentos/olas/escalas distintos. La cifra 32.1% debe reetiquetarse vecinos.	Persona de 15 años o más entrevistada en ENCUCI 2020, población nacional; SEC_4_5 completa sin condicionar por formalidad/edad, n=21,519 antes de excluir 99 por ítem, FAC_SEL peso y EST_DIS/UPM_DIS diseño. Corte alto ≥8/10, no escala binaria WVS ni Pew.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.24-25 §V P5.1;forense/notas/2026-08-05-c06b-conf06-encuci-corte.md|main|§1.1-1.4 y §3	P5.1 «En una escala de cero a diez, como en la escuela, donde cero es nada y diez es completamente, en general ¿cuánto confía en… 1. la mayoría de las personas? 3. la mayoría de las personas que viven en su colonia y localidad?»; AP5_1_1/AP5_1_3, 00-10, 99 no sabe/no responde excluido.	CERRADA	MEDIBLE-EN-CORPUS	FD y dato con hashes físicos y acto C-06b en main muestran atribución errónea: 32.1% pertenece a vecinos AP5_1_3 al mismo umbral ≥8, mientras AP5_1_1 es 21.9%. No se produce RESULT nuevo en U0.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió ZIP/DBF	Términos de Libre Uso INEGI. El cotejo numérico citado es el acto C-06b ya existente en main, no RESULT nuevo de #1084/#1089 ni microdato abierto por U0; preservar umbral y diseño.	C-06b, forense/notas/2026-08-05-c06b-conf06-encuci-corte.md en main: AP5_1_1 ≥8 21.9% (IC95 21.1-22.7), AP5_1_3 ≥8 32.3% (31.3-33.3); acto previo, no RESULT nuevo de tanda.	ASTRA5-U3	Corregir report/proyección a referente vecinos para 32.1%; conservar mayoría 21.9% solo con umbral ≥8 y CITAR C-06b. Localizar Pew 2025 por separado.	3
ASTRA5-U0-CAPSOC-003	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L12, hallazgo 2; L32	ENCUCI 2020: 62.1% confía en personas conocidas (grado 8-10), en contraste con confianza generalizada.	FUERTE	cifra publicada y comparación de referentes	AP5_1_2 confianza en la mayoría de las personas que conoce personalmente; C-06b calculó 62.2% ≥8/10, n útil 21,445, IC95% 61.2-63.3, que contiene el 62.1% publicado.	La escala ENCUCI 0-10 y corte ≥8 no son la dicotomía de Pew/WVS. El contraste ENCUCI con AP5_1_1 sí usa la misma batería/muestra pero referentes diferentes; no identifica causalmente «radio corto» ni confianza funcional de tandas.	Persona de 15 años o más entrevistada en ENCUCI 2020, población nacional; SEC_4_5 completa sin condicionar por formalidad/edad, n=21,519 antes de excluir 99 por ítem, FAC_SEL peso y EST_DIS/UPM_DIS diseño. Corte alto ≥8/10, no escala binaria WVS ni Pew.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.24-25 §V P5.1;forense/notas/2026-08-05-c06b-conf06-encuci-corte.md|main|§1.1-1.4 y §3	P5.1 «… ¿cuánto confía en… 2. la mayoría de las personas que conoce personalmente?»; AP5_1_2, 00=Nada a 10=Completamente, 99=No sabe/no responde excluido; corte analítico 08-10.	CERRADA	MEDIBLE-EN-CORPUS	FD y dato registrados con hashes físicos; C-06b en main reproduce 62.1% dentro del IC95 de 62.2% para el reactivo y corte exactos. No se atribuye resultado a otra ola o escala.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió ZIP/DBF	Términos de Libre Uso INEGI. El cotejo numérico citado es el acto C-06b ya existente en main, no RESULT nuevo de #1084/#1089 ni microdato abierto por U0; preservar umbral y diseño.	C-06b, forense/notas/2026-08-05-c06b-conf06-encuci-corte.md en main: AP5_1_2 ≥8 62.2% (IC95 61.2-63.3), n útil 21,445; acto previo, no RESULT nuevo.	ASTRA5-U3	Conservar 62.1% solo como confianza alta ≥8/10 ENCUCI 2020 en conocidos; para Pew 2025 y WVS 2018 crear cotejos separados.	3
ASTRA5-U0-CAPSOC-004	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L10, hallazgo 1; L53,L57	ENCUCI 2020 muestra asociacionismo formal bajo: menos de una de cuatro personas pertenece a alguna organización; 23% padres, 19% deportiva/religiosa, 16% estudiantil, 11% cultural/vecinal.	FUERTE	cifra publicada de participación cívica	P6.2 pregunta si alguna vez participó en cada uno de 13 tipos de grupos/asociaciones; calcular prevalencia vitalicia por tipo y unión de cualquiera de los 13, cada base de respuesta válida. No mide pertenencia actual.	«Pertenece» actual y «alguna vez ha participado» no son el mismo estimando. El máximo de las tasas por tipo (23%) no da la unión de todas (<25%); deportiva y religiosa, cultural y vecinal son pares de reactivos separados y no deben sumarse sin microdato. No afirmar cifras sin RESULT.	Persona entrevistada de 15 años o más, ENCUCI 2020 nacional; ENCUCI_2020_SEC_6_7_8 sin condicionar, valores válidos por ítem 1/2, 9 no sabe/no responde y blanco por secuencia donde FD lo indica; FAC_SEL/EST_DIS/UPM_DIS disponibles en tabla.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.35,39-40 §VI/§VII;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P6.2 «Alguna vez en su vida, ¿usted ha participado en alguno de los siguientes grupos o asociaciones?» AP6_2_1..13, incluyendo 2 estudiantil, 5 religiosa, 6 deportiva, 7 cultural, 8 padres, 12 vecinal; 1 Sí, 2 No, 9 No sabe/no responde.	CERRADA	MEDIBLE-EN-CORPUS	FD primario con texto/códigos y dato ENCUCI en main, hashes físicos coincidentes. Contrato solo para participación alguna vez; la atribución de pertenencia actual y cifra <25% unión requieren corrección/RESULT.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; CAJA debe preregistrar subtabla, pesos, diseño, códigos y universo. No hay RESULT de estos ítems en U0.	No se halló RESULT compatible de AP6_2_1..13/AP7_3_2/AP7_3_3 en main al corte U0; C-06b solo mide AP5_1_1..3.	ASTRA5-U3	Medir unión y tipos AP6_2_1..13 con FAC_SEL/diseño en CAJA autorizada; cotejar 23/19/16/11 y no llamar a la unión membresía actual.	3
ASTRA5-U0-CAPSOC-005	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L10, hallazgo 1; L53,L57	ENCUCI 2020: 27.4% ha firmado una petición para resolver asuntos comunitarios.	FUERTE	cifra publicada de participación cívica	P7.3.2 pregunta si alguna vez firmó una petición para solicitar servicio o solución de problema público; tasa entre personas 15+ con respuesta válida.	Pregunta de vida entera, no últimos 12 meses ni frecuencia. No mide éxito de petición, cooperación sostenida o motivación. 27.4% queda sin RESULT compatible.	Persona entrevistada de 15 años o más, ENCUCI 2020 nacional; ENCUCI_2020_SEC_6_7_8 sin condicionar, valores válidos por ítem 1/2, 9 no sabe/no responde y blanco por secuencia donde FD lo indica; FAC_SEL/EST_DIS/UPM_DIS disponibles en tabla.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.35,39-40 §VI/§VII;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P7.3 «Alguna vez en su vida, ¿ha realizado alguna de las siguientes actividades relacionadas con asuntos públicos?» ítem 2 «Firmado una petición para solicitar algún servicio o la solución de algún problema»; AP7_3_2, 1 Sí, 2 No, 9 No sabe/no responde, blanco por secuencia.	CERRADA	MEDIBLE-EN-CORPUS	FD primario y dato registrados con hashes físicos coincidentes; contrato de reactivo/periodo/universo cerrado, porcentaje citado pendiente de cotejo numérico.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; CAJA debe preregistrar subtabla, pesos, diseño, códigos y universo. No hay RESULT de estos ítems en U0.	No se halló RESULT compatible de AP6_2_1..13/AP7_3_2/AP7_3_3 en main al corte U0; C-06b solo mide AP5_1_1..3.	ASTRA5-U3	Cotejar 27.4% con AP7_3_2 ponderado, excluir 9/blanco y usar diseño; separar petición de trabajo colectivo.	3
ASTRA5-U0-CAPSOC-006	corpus/reports/Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	4c062d9e06d8ed8a6336beccedaeb9d4a593db903a8d9ee3ced81b5359d09c96	L10, hallazgo 1; L53,L57	ENCUCI 2020: 22.1% ha trabajado con otras personas para resolver problemas de su comunidad.	FUERTE	cifra publicada de participación cívica	P7.3.3 pregunta si alguna vez trabajó con otras personas para resolver problemas comunitarios; tasa entre personas 15+ con respuesta válida.	Vida entera, no participación recurrente ni resultado del problema. No mide faena/tequio, comités de agua, ni acción vecinal defensiva de hogar ENVIPE; 22.1% sin RESULT compatible.	Persona entrevistada de 15 años o más, ENCUCI 2020 nacional; ENCUCI_2020_SEC_6_7_8 sin condicionar, valores válidos por ítem 1/2, 9 no sabe/no responde y blanco por secuencia donde FD lo indica; FAC_SEL/EST_DIS/UPM_DIS disponibles en tabla.	ENCUCI 2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|pp.35,39-40 §VI/§VII;encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|main	P7.3 «Alguna vez en su vida…» ítem 3 «Trabajar con otras personas para resolver problemas de la comunidad»; AP7_3_3, 1 Sí, 2 No, 9 No sabe/no responde, blanco por secuencia.	CERRADA	MEDIBLE-EN-CORPUS	FD primario y dato registrados con hashes físicos coincidentes; contrato documental cerrado solo para respuesta de vida entera, no porcentaje medido por U0.	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|físico COINCIDE SHA; U0 no abrió microdato	Términos de Libre Uso INEGI; CAJA debe preregistrar subtabla, pesos, diseño, códigos y universo. No hay RESULT de estos ítems en U0.	No se halló RESULT compatible de AP6_2_1..13/AP7_3_2/AP7_3_3 en main al corte U0; C-06b solo mide AP5_1_1..3.	ASTRA5-U3	Cotejar 22.1% con AP7_3_3 ponderado/diseño en CAJA y preservar universo persona 15+.	3
