id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-CONS-001	consumidor-001	LECTURA-b49daaca-01;TIER-b49daaca-L52	L26;L52	La calidad supera al precio por un factor de 2:1 como criterio de compra en todos los niveles socioeconomicos (Roland Berger 2024). La narrativa de que 'el mexicano solo busca lo barato' es empiricamente falsa.	FUERTE	CIFRA-PUBLICADA	mixta (encuesta comercial a poblacion mexicana; metodologia de consultora extranjera)	Consumidor mexicano declara que la calidad pesa el doble que el precio como criterio de compra, en los 7 NSE	Preferencia declarada (autorreporte), no conducta de compra observada; 'factor 2:1' sin definicion operacional citada en el report	Persona/consumidor; universo declarado 'todos los niveles socioeconomicos'; Roland Berger marzo 2024	Roland Berger 'Inside the mind of Mexican consumers' (mar 2024); McKinsey 2023 (informe no identificado con precision)	SIN-ID-MANIFIESTO; URL rolandberger.com/en/Insights/Publications/Inside-the-mind-of-Mexican-consumers.html (no hash, no descargado)	No extraida; snippet web no reproduce la cifra 2:1 literal	MEDIBLE-CON-ADQUISICIÓN	Documento identificado (titulo, autor, fecha mar/2024, URL) confirmado; falta descargar el PDF y cotejar la cifra 2:1 y su n/metodologia por NSE	faltante: Roland Berger 'Inside the mind of Mexican consumers' (mar 2024); McKinsey 2023 (informe no identificado con precision); SIN-ID-MANIFIESTO (u0mf --busca roland: 0/1680; --busca mckinsey: 0/1680)	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Descargar/registrar Roland Berger mar/2024 y McKinsey 2023; cotejar cifra 2:1 y muestra por NSE	CONC-DOC-ROLANDBERGER-2024		u0mf --busca roland -> 0/1680; u0mf --busca mckinsey -> 0/1680; WebSearch 'Roland Berger Mexico consumidor 2024 calidad precio estudio' (ejecutor previo, 2026-09-23) -> confirma documento; cifra 2:1 no vista en snippet	CONSUMO	Cambiaria si el documento primario, leido, reporta un ratio distinto a 2:1 o basado en muestra no representativa de los 7 NSE.
ASTRA5-U0-CONS-002	consumidor-002	LECTURA-b49daaca-02;TIER-b49daaca-L53	L27;L53	Solo el 4% de los consumidores cambia a marcas mas baratas en tiempos de crisis; el 25% prefiere comprar menos cantidad antes que cambiar de marca (McKinsey 2012).	FUERTE	CIFRA-PUBLICADA	(a) primaria Mexico (encuesta a 2200 personas en 4 ciudades mexicanas)	Consumidor mexicano en crisis economica declara cambiar a marca mas barata (4%) vs reducir cantidad (25%) en vez de cambiar de marca	Comportamiento autorreportado en encuesta puntual (nov 2011); no se observa conducta real ni panel; denominador exacto de 'crisis' no citado	Persona/consumidor; 4 ciudades (CDMX, Monterrey, Puebla, Queretaro); n=2200; nov 2011	McKinsey encuesta de gasto del consumidor Mexico, nov 2011 (publicada 2012)	SIN-ID-MANIFIESTO; mckinsey.com (URL exacta del articulo no identificada en snippet)	No extraida (snippet web resumido, no cuestionario)	MEDIBLE-CON-ADQUISICIÓN	Existencia del estudio confirmada (McKinsey, nov/2011, n=2200, 4 ciudades) via WebSearch previo; falta el documento completo para citar 4%/25% literal y pregunta exacta	faltante: McKinsey encuesta de gasto del consumidor Mexico, nov 2011 (publicada 2012); SIN-ID-MANIFIESTO (u0mf --busca mckinsey: 0/1680)	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-CONSUMO	Localizar y registrar el articulo/reporte McKinsey 2012 con la encuesta de 2200 personas; cotejar 4%/25%	CONC-DOC-MCKINSEY2012-BRANDSWITCH		u0mf --busca mckinsey -> 0/1680; WebSearch 'McKinsey Mexico Latin America consumer sentiment 2012 brand switching survey' (ejecutor previo, 2026-09-23) -> confirma encuesta nov/2011, n=2200, CDMX/Monterrey/Puebla/Queretaro	CONSUMO	Cambiaria si el documento primario muestra % distinto o universo distinto (p.ej. solo bienes de consumo masivo).
ASTRA5-U0-CONS-003	consumidor-003	LECTURA-b49daaca-02	L27	Cuando si cambian, el 90-100% queda satisfecho con la alternativa (McKinsey); el 46% de quienes cambiaron no tiene intencion de regresar a la marca original.	FUERTE (rige tabla L53)	CIFRA-PUBLICADA	(a) primaria Mexico (mismo estudio McKinsey 2012)	Entre quienes SI cambiaron de marca (subpoblacion condicional), 90-100% reporta satisfaccion con la alternativa; 46% no intenta regresar	Base condicional (denominador = quienes cambiaron, no el total); comparacion con 54% de EEUU sin especificar si es la misma pregunta/ola	Persona/consumidor que cambio de marca; mismo estudio McKinsey nov 2011, n=2200	McKinsey encuesta de gasto del consumidor Mexico, nov 2011	SIN-ID-MANIFIESTO	No extraida	MEDIBLE-CON-ADQUISICIÓN	Mismo documento identificado que consumidor-002 (existencia confirmada); falta el reporte completo para la pregunta de satisfaccion condicional y el item comparativo EEUU/Mexico	faltante: McKinsey encuesta de gasto del consumidor Mexico, nov 2011; SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-CONSUMO	Mismo documento que consumidor-002; extraer pregunta de satisfaccion condicional y comparacion EEUU	CONC-DOC-MCKINSEY2012-BRANDSWITCH		Mismo hallazgo que consumidor-002 (WebSearch ejecutor previo, 2026-09-23); no se relanzo busqueda adicional	CONSUMO	Cambiaria si la satisfaccion condicional resulta menor o si el 46% de no-retorno no se replica en el documento primario.
ASTRA5-U0-CONS-004	consumidor-004	LECTURA-b49daaca-02	L27;L154;L312	Sugiriendo que la lealtad de marca es en parte inercia y aversion al riesgo, no vinculo emocional genuino (S1.2); mucha 'lealtad' en Mexico es en realidad inercia protectora contra el riesgo (S4.6); Mucha 'lealtad' es aversion al riesgo e inercia, no vinculo emocional profundo (S10, Mito 2).	Hipotesis razonable (tabla L65, no capturada por el regex T)	INTERPRETACION-DEL-REPORT	no-aplica (inferencia del propio report sobre los datos de consumidor-002/003)	El mecanismo psicologico subyacente a la resistencia a cambiar de marca es 'inercia/aversion al riesgo' y no 'vinculo emocional'	Mecanismo psicologico no observable con las cifras de comportamiento citadas; requiere diseno que distinga vinculo emocional de costo de cambio (medida de apego de marca, experimento de exposicion a alternativas)	No aplica (interpretacion, no estimando directo)	No aplica	No aplica	No aplica	NO-MEDIBLE-POR-DISEÑO	Es un mecanismo psicologico (inercia vs vinculo emocional) inferido de una tasa de comportamiento y una satisfaccion condicional; ningun instrumento del corpus mide 'vinculo emocional con la marca' que permita distinguirlo de aversion al riesgo. No se identifico instrumento tras este recorrido; no equivale a imposibilidad universal.	No aplica	ninguna	ninguna corrida con <payload_id> (no aplica, es interpretacion)	ASTRA5-MESA-CONSUMO	Disenar experimento o escala de apego de marca para distinguir inercia de vinculo emocional	CONC-INTERP-LEALTAD-INERCIA		ENIF/ENIGH/ENDUTIH no incluyen escalas de apego de marca (recorrido de FD sin hallazgo); NO-MEDIBLE-POR-DISEÑO por ausencia de instrumento psicometrico de apego de marca en el corpus	CONSUMO	Cambiaria si un instrumento con escala de apego/vinculo emocional de marca mostrara alta puntuacion entre quienes NO cambian, independiente del costo de cambio percibido.
ASTRA5-U0-CONS-005	consumidor-005	LECTURA-b49daaca-03;TIER-b49daaca-L54	L28;L54	El 57% de los consumidores mexicanos son 'aspiracionales' -- entre los porcentajes mas altos del mundo (GWI).	FUERTE	CIFRA-PUBLICADA	(a) primaria Mexico (panel GWI incluye muestra mexicana declarada)	Proporcion de consumidores mexicanos clasificados por GWI como 'aspiracionales' (buscan superarse, orientados a carrera, oportunistas)	Definicion de 'aspiracional' es constructo propio de GWI (autorreporte de actitudes), no validado contra conducta de compra; muestra es panel online (GWI Core), sesgo hacia usuarios de internet	Persona; usuarios de internet 16-64 Mexico (panel GWI Core); ola no especificada por el report	GWI Core (panel trimestral online), reporte 'Aspirational Consumers'	SIN-ID-MANIFIESTO; gwi.com/blog/why-aspirational-consumers-matter (confirmado ejecutor previo)	No extraida (blog resumen, no cuestionario)	MEDIBLE-CON-ADQUISICIÓN	Existencia y cifra confirmadas literalmente ('Mexico has 57% of its population classified as aspirational consumers') via WebSearch previo; falta el informe completo de GWI para el cuestionario y definicion operacional	faltante: GWI Core (panel trimestral online), reporte 'Aspirational Consumers'; SIN-ID-MANIFIESTO (u0mf --busca gwi -> 3 aciertos, pero son ENSANUT2024, coincidencia de sigla, no GWI consultora)	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-CONSUMO	Registrar informe/cuestionario GWI Core con definicion operacional de 'aspiracional'	CONC-DOC-GWI-ASPIRACIONAL		u0mf --busca gwi -> 3/1680 (falso positivo, ENSANUT2024); WebSearch 'GWI aspirational consumers Mexico data' (ejecutor previo, 2026-09-23) -> gwi.com confirma 57% Mexico	CONSUMO	Cambiaria si el cuestionario GWI revela que 'aspiracional' mide solo actitud laboral (no consumo) o si la muestra excluye a la mayoria no conectada.
ASTRA5-U0-CONS-006	consumidor-006	LECTURA-b49daaca-03;TIER-b49daaca-L64	L28;L64;L84	La desigualdad economica (Gini de 0.45-0.46) intensifica el consumo de estatus como mecanismo compensatorio psicologico. Tabla: Desigualdad -> consumo compensatorio (rama estatus) | Fuerte, sin sosten por procedencia -- experimento CIMCYC/Universidad de Granada, no poblacion mexicana (FP-38, corregido 18/ago/2026).	FUERTE, corregido a sin-sosten-poblacional-mexicana por FP-38	INTERPRETACION-DEL-REPORT	(c) marco importado/extranjero (Velandia-Morales 2022 es experimento del CIMCYC, Universidad de Granada, España -- no mide poblacion mexicana; correccion FP-38 vigente)	La desigualdad de ingreso en Mexico (Gini) causa/co-varia con mayor consumo de estatus como compensacion psicologica en poblacion mexicana	El unico estudio citado como mecanismo (Velandia-Morales 2022) es un experimento espanol, no mexicano (FP-38); el Gini nacional no esta cruzado con ninguna medida individual de consumo de estatus en Mexico; falsador propio R1.4 (ENIGH 6 olas) sigue sin ejecutarse	No aplica directamente (falta instrumento mexicano); Gini nacional, hogar/persona	Velandia-Morales et al. 2022, Frontiers in Psychology (experimento espanol); Gini de ENIGH (ano exacto citado 0.45-0.46 no cotejado)	SIN-ID-MANIFIESTO para Velandia-Morales; enigh2024_reporte_resultados_pdf (en manifiesto) para Gini, numero no cotejado linea por linea esta sesion	No aplica	NO-MEDIBLE-POR-DISEÑO	El mecanismo se apoya en un experimento extranjero no mexicano (FP-38 ya lo retira como evidencia poblacional mexicana); no se identifico instrumento mexicano que cruce desigualdad con consumo de estatus individual. u0mf --busca velandia -> 0/1680; u0mf --busca gini -> 1/1680 (enigh2024_reporte_resultados_pdf, valor no verificado esta sesion). No equivale a imposibilidad universal (falsador R1.4 ENIGH sigue pendiente).	SIN-ID-MANIFIESTO (Velandia-Morales); enigh2024_reporte_resultados_pdf en manifiesto para Gini (documental agregado, no cruzado con consumo)	ninguna	ninguna corrida con <payload_id> (u0mf --calc enigh2024_reporte_resultados_pdf: no aplica, es PDF no dato tabular)	ASTRA5-MESA-ESTATUS	Ejecutar el falsador R1.4 pendiente (ENIGH 6 olas, Gini vs gasto de estatus) cuando exista spec congelada	CONC-INTERP-DESIGUALDAD-ESTATUS		u0mf --busca velandia -> 0/1680 (confirma FP-38); u0mf --busca gini -> 1/1680 (enigh2024_reporte_resultados_pdf)	CONSUMO	Cambiaria si R1.4 (ENIGH 6 olas) mostrara asociacion entre Gini/percepcion de desigualdad y gasto de estatus en poblacion mexicana con datos individuales.
ASTRA5-U0-CONS-007	consumidor-007	CONSUMO-INTERNO-03	L126	Segun Wang (2022, Journal of Applied Social Psychology), las personas con bajo estatus subjetivo + baja movilidad social percibida son las MAS propensas al consumo conspicuo -- perfecta descripcion de amplios segmentos en Mexico.	NO-EXPLICITO	INTERPRETACION-DEL-REPORT	(c) marco importado/extranjero (no verificado si Wang 2022 usa muestra mexicana)	Bajo estatus subjetivo + baja movilidad social percibida predicen consumo conspicuo en Mexico	El estudio de Wang (2022) no fue verificado en este lote (no se busco en web por presupuesto agotado); el report lo aplica a 'amplios segmentos en Mexico' sin dato mexicano que lo corrobore directamente	No aplica (estudio no verificado)	Wang 2022, Journal of Applied Social Psychology (documento no localizado esta sesion)	SIN-ID-MANIFIESTO	No aplica	PENDIENTE-VERIFICACION-DOCUMENTAL	No se pudo comprobar la existencia/identidad exacta del articulo de Wang (2022) en este lote: presupuesto de busqueda web del lote (12 consultas) ya agotado por el ejecutor previo en este mismo paquete	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-ESTATUS	Localizar Wang 2022 (DOI/titulo exacto) y verificar si usa muestra mexicana; presupuesto de 12 consultas web del lote ya se agoto (ejecutor previo)	CONC-DOC-WANG2022-ESTATUS		Sin busqueda web propia (presupuesto 12/12 agotado por ejecutor previo, ver previas/consumidor.log)	CONSUMO	Cambiaria si el articulo, leido, muestra que la muestra es mexicana y no una muestra estadounidense/global generica.
ASTRA5-U0-CONS-008	consumidor-008	CONSUMO-INTERNO-03	L128	Acuna y Tipa (2022, Revista Mexicana de Sociologia) documentaron como las elites economicas mexicanas comunican posicion social a traves de practicas de consumo material y simbolico.	NO-EXPLICITO	CONCLUSION-DE-ESTUDIO	(a) primaria Mexico (estudio mexicano, si se confirma)	Las elites economicas mexicanas comunican posicion social via consumo material/simbolico (estudio cualitativo/documental)	Estudio no verificado en este lote (documento no localizado); 'elites economicas' es subpoblacion no muestreada por las encuestas del corpus	No aplica (estudio no verificado)	Acuna y Tipa 2022, Revista Mexicana de Sociologia (documento no localizado esta sesion)	SIN-ID-MANIFIESTO	No aplica	PENDIENTE-VERIFICACION-DOCUMENTAL	No se pudo comprobar la existencia del articulo (titulo exacto, DOI, numero de revista) en este lote; presupuesto de busqueda web del lote agotado por el ejecutor previo	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-ESTATUS	Localizar Acuna y Tipa 2022 en Revista Mexicana de Sociologia (DOI/numero) y verificar metodo	CONC-DOC-ACUNATIPA2022-ELITES		Sin busqueda web propia (presupuesto 12/12 agotado por ejecutor previo)	CONSUMO	Cambiaria si el articulo, leido, no encuentra practicas de consumo simbolico distintivas de elites o usa muestra no mexicana.
ASTRA5-U0-CONS-009	consumidor-009	LECTURA-b49daaca-04;TIER-b49daaca-L56	L29;L56	El efectivo sigue dominando: 82% de los ciudadanos lo prefieren (PCMI).	FUERTE	CIFRA-PUBLICADA	no-aplica (fuente no verificada)	Proporcion de la poblacion mexicana que prefiere pagar en efectivo (PCMI, consultora de pagos)	PCMI (Payments and Commerce Market Intelligence) es consultora privada no identificada en el corpus ni buscada en web este lote; universo, muestra y pregunta exacta desconocidos	Persona/consumidor; universo y ola PCMI no identificados	PCMI 2024 (no localizado)	SIN-ID-MANIFIESTO	No aplica	PENDIENTE-VERIFICACION-DOCUMENTAL	PCMI no esta en el manifiesto (u0mf --busca pcmi -> 0/1680) y no se buscó en web en este lote (presupuesto de 12 consultas agotado por el ejecutor previo); no se pudo comprobar ni la existencia del documento primario	SIN-ID-MANIFIESTO (u0mf --busca pcmi -> 0/1680)	ninguna	ninguna corrida con <payload_id> (sin payload_id)	ASTRA5-MESA-DINERO	Localizar informe PCMI 2024 sobre preferencia de pago en efectivo en Mexico; usar presupuesto web de un lote futuro	CONC-DOC-PCMI2024-EFECTIVO		u0mf --busca pcmi -> 0/1680 (ejecutor previo, confirmado); sin busqueda web (presupuesto 12/12 agotado por ejecutor previo)	DINERO	Cambiaria si el informe PCMI, leido, especifica una cifra distinta o un universo restringido (p.ej. solo e-commerce).
ASTRA5-U0-CONS-010	consumidor-010	LECTURA-b49daaca-04;TIER-b49daaca-L56	L29;L56	El 85.2% lo usa para compras bajo 500 pesos (ENIF 2025).	FUERTE	CIFRA-PUBLICADA	(a) primaria Mexico	Forma de pago mas frecuente en compras de 500 pesos o menos, persona adulta, instrumento ENIF	El report cita 'ENIF 2025', pero ENIF 2025 NO existe en el manifiesto ni en el catalogo INEGI (ultima ola registrada es ENIF 2024); la pregunta P7.1 si existe en ENIF2024 (y en 2018/2021); la cifra 85.2% no se verifico contra ningun payload (cero microdato)	Persona adulta usuaria de servicios financieros; universo nacional; ENIF2024 (la ola citada 'ENIF 2025' no existe)	ENIF 2024, pregunta 7.1 (P7_1_1)	enif2024_fd_xlsx|17e2ad86ce9e4fd5783ee54e9b51ee436b934e002d5736b82094070c74a25db2|hoja=TMODULO;fila=907	7.1 Le voy a dar esta tarjeta (ENTREGUE LA TARJETA 5). Que forma de pago utiliza con mas frecuencia cuando realiza compras de 500 pesos o menos? (codigos de respuesta por extraer de enif2024_fd_xlsx hoja TMODULO)	MEDIBLE-EN-CORPUS	La variable que observa el componente esta en un instrumento con payload_id real (enif2024_csv) y fuente_id con texto literal citado; PERO el report atribuye el dato a 'ENIF 2025', que no existe en el manifiesto (u0mf --busca enif+2025 -> 0 aciertos) -- se declara la discrepancia de ola como hallazgo, no se corrige la cifra	enif2024_csv|a3507b4038888247f565f1640a718ef552bb8fc363378e3372a5bf2796bb2e4c|raiz data_raw; U0 no abrio microdato	ninguna	Corridas con input enif2024_csv: 12 (de 326 corridas; u0mf --calc enif2024_csv); ninguna corresponde a P7_1/500 pesos especificamente	ASTRA5-MESA-DINERO	Extraer codigos de respuesta de enif2024_fd_xlsx hoja TMODULO fila 907; corregir la cita 'ENIF 2025' a 'ENIF 2024' en el report	CONC-ENIF2024-P7_1_1		u0busca -q '500 pesos' --encuesta enif --ola 2024 -> 3 aciertos con texto (ejecutor previo); u0mf --busca enif --busca 2025 -> 0/1680 (ejecutor previo); u0busca -q 'compras de 500 pesos o menos' -> 9 aciertos en ENIF 2018/2021/2024 (ejecutor previo)	DINERO	Cambiaria si se registrara una ola ENIF 2025 en el manifiesto con la misma pregunta y una cifra distinta a la de ENIF2024.
