#id	payload_id	tabla	variable	codificacion	universo_filtro	ponderador	estrato	upm	fuente	estado	fecha
CIV-08	envipe2023_csv	tper_vic1_envipe2023/conjunto_de_datos/conjunto_de_datos_tper_vic1_envipe2023.csv	AP4_4_03	y=1 si AP4_4_03=='2' (Inseguro); y=0 si=='1' (Seguro); 3 y 9 fuera	poblacion de 18 anios y mas (TPer_Vic1)	FAC_ELE	EST_DIS	UPM_DIS	R-json	DERIVADA	2026-08-31
DIN-03	enif_2012_bases_enif2012_dbf	stmodulo2_e2.dbf  (join stsdem_e2.dbf por CONTROL+VIV_SEL+HOGAR+R_SEL=N_REN)	P7_1	y=1 si P7_1=='1' (Si); y=0 si=='2'; resto fuera	mujeres de 18 a 70 anios, persona elegida del hogar	FAC_PER	EST_DIS	UPM_DIS	R-json	DERIVADA	2026-08-31
DIN-05	enfih2019_bd_csv_zip	TMODULO.csv	P8_1_1	y=1 si P8_1_1=='1' (Si); y=0 si=='2'; resto fuera	personas de 18+ en localidades menores de 2 500 habitantes (TLOC=='4')	FACTOR	EDIS	UPM_DIS	R-json	DERIVADA	2026-08-31
DIN-11	enif2018_csv	conjunto_de_datos_tmodulo_enif_2018/conjunto_de_datos/tmodulo.csv	P5_3	y=1 si P5_3=='1' (Si); y=0 si=='2'; resto fuera	personas de 18 a 70 anios, persona elegida del hogar (la tabla ya es ese universo)	fac_per	est_dis	upm_dis	R-json	DERIVADA	2026-08-31
SFT-04	enasem2018_bd_csv_zip	SECT_A_C_D_F_E_PC_H_I_2018.csv	H16D_18	y=1 si H16D_18=='1' (Si); y=0 si=='2'; 8 y 9 fuera	personas de 50+ y conyuge, entrevista directa (la tabla ya es ese universo)	FACTORI_18	EST_DIS	UPM_DIS	R-json	DERIVADA	2026-08-31
SFT-06	enasem2024_bd_csv_zip	tr_enasem24_sect_a_c_d_e_pc_f_h_i.csv	F55_24	y=1 si F55_24=='1' (Si); y=0 si=='2'; 8 y 9 fuera	personas de 50+ y conyuge, entrevista directa (la tabla ya es ese universo)	FACTORI_24	EST_DIS_24	UPM_DIS_24	R-json	DERIVADA	2026-08-31
TIC-01	enoe_2024_1t_csv	COE1 join SDEM	p3i	y=1 si p3i=='1' (Si); y=0 si=='2'; 9 fuera	poblacion ocupada subordinada y remunerada de 15+ con empleo actual (COE1)	fac_tri	est_d_tri (de SDEM)	upm	R-json	DERIVADA	2026-08-31
TIC-08	endutih2024_bd_dbf_zip	tic_2024_usuarios.DBF	P7_15	y=1 si P7_15=='1' (Si); y=0 si=='2'; resto fuera	persona elegida de 6 anios y mas (tabla tic_2024_usuarios)	FAC_PER	EST_DIS	UPM_DIS	R-json	DERIVADA	2026-08-31
TIC-12	enoe_2024_1t_csv	COE1 join SDEM	p3n	R principal: y=1 si p3n=='8' (familiar/amigo/conocido); y=0 si p3n en 1..10 distinto de 8; 99 y vacio fuera	poblacion ocupada subordinada y remunerada de 15+ con empleo actual (COE1)	fac_tri	est_d_tri (de SDEM)	upm	R-json	DERIVADA	2026-08-31
CIV-M-01	envipe_2012_base_de_datos_envipe_2012_dbf	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion 'I. Todos los tipos de delito' (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es 'b' (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido, sin necesidad de filtrar por BP1_20 aparte	FAC_DEL	EST	UPM	FD:fd_envipe2012.xls	PROPUESTA	2026-08-31
CIV-M-06	envipe_2017_bd_envipe2017_dbf	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion 'I. Todos los tipos de delito' (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es 'b' (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido, sin necesidad de filtrar por BP1_20 aparte	FAC_DEL	EST_DIS	UPM_DIS	FD:fd_envipe2017.pdf	PROPUESTA	2026-08-31
